filename,power_factor
WaterHeater_StiebelEltronSN10S_r1_MK1_20160126153648.csv,0.07
Laptop_Schenker-W503_r1_MK1_20160126161033.csv,0.636
Laptop_Schenker-W503_r1_MK1_20160126161054.csv,0.637
Laptop_Schenker-W503_r1_MK1_20160126161121.csv,0.634
Laptop_Schenker-W503_r1_MK1_20160126161142.csv,0.634
Laptop_Schenker-W503_r1_MK1_20160126161205.csv,0.633
Laptop_Schenker-W503_r1_MK1_20160126161228.csv,0.633
Laptop_Schenker-W503_r1_MK1_20160126161251.csv,0.633
Laptop_Schenker-W503_r1_MK1_20160126161312.csv,0.635
Laptop_Schenker-W503_r1_MK1_20160126161334.csv,0.634
Laptop_Schenker-W503_r1_MK1_20160126161357.csv,0.636
SandwichMaker_ClatronicST3011_r2_MK1_20160503220543.csv,0.067
SandwichMaker_ClatronicST3011_r2_MK1_20160503220552.csv,0.084
SandwichMaker_ClatronicST3011_r2_MK1_20160503220614.csv,0.084
SandwichMaker_ClatronicST3011_r2_MK1_20160503220647.csv,0.08
SandwichMaker_ClatronicST3011_r2_MK1_20160503220746.csv,0.073
SandwichMaker_ClatronicST3011_r2_MK1_20160503220753.csv,0.085
SandwichMaker_ClatronicST3011_r2_MK1_20160503220800.csv,0.072
SandwichMaker_ClatronicST3011_r2_MK1_20160503220809.csv,0.073
SandwichMaker_ClatronicST3011_r2_MK1_20160503220818.csv,0.084
SandwichMaker_ClatronicST3011_r2_MK1_20160503220826.csv,0.066
RiceCooker_PanasonicSRG06_r2_MK1_20160503221300.csv,0.071
RiceCooker_PanasonicSRG06_r2_MK1_20160503221311.csv,0.071
RiceCooker_PanasonicSRG06_r2_MK1_20160503221319.csv,0.08
RiceCooker_PanasonicSRG06_r2_MK1_20160503221326.csv,0.082
RiceCooker_PanasonicSRG06_r2_MK1_20160503221332.csv,0.071
RiceCooker_PanasonicSRG06_r2_MK1_20160503221339.csv,0.074
RiceCooker_PanasonicSRG06_r2_MK1_20160503221348.csv,0.08
RiceCooker_PanasonicSRG06_r2_MK1_20160503221356.csv,0.07
RiceCooker_PanasonicSRG06_r2_MK1_20160503221402.csv,0.069
RiceCooker_PanasonicSRG06_r2_MK1_20160503221414.csv,0.079
RiceCooker_arendo301224_r2_MK1_20160503221730.csv,0.08
RiceCooker_arendo301224_r2_MK1_20160503221738.csv,0.07
RiceCooker_arendo301224_r2_MK1_20160503221745.csv,0.072
RiceCooker_arendo301224_r2_MK1_20160503221753.csv,0.084
RiceCooker_arendo301224_r2_MK1_20160503221801.csv,0.07
RiceCooker_arendo301224_r2_MK1_20160503221808.csv,0.071
RiceCooker_arendo301224_r2_MK1_20160503221817.csv,0.084
RiceCooker_arendo301224_r2_MK1_20160503221827.csv,0.079
RiceCooker_arendo301224_r2_MK1_20160503221836.csv,0.05
RiceCooker_arendo301224_r2_MK1_20160503221906.csv,0.084
CoffeeMachine_SIEMENS_r7_MK1_20160505235142.csv,0.08
CoffeeMachine_SIEMENS_r7_MK1_20160505235150.csv,0.082
CoffeeMachine_SIEMENS_r7_MK1_20160505235225.csv,0.077
CoffeeMachine_SIEMENS_r7_MK1_20160505235233.csv,0.083
CoffeeMachine_SIEMENS_r7_MK1_20160505235243.csv,0.078
CoffeeMachine_SIEMENS_r7_MK1_20160505235252.csv,0.075
CoffeeMachine_SIEMENS_r7_MK1_20160505235301.csv,0.08
CoffeeMachine_SIEMENS_r7_MK1_20160505235311.csv,0.073
CoffeeMachine_SIEMENS_r7_MK1_20160505235324.csv,0.085
CoffeeMachine_SIEMENS_r7_MK1_20160505235335.csv,0.073
Stove_sOlac_r7_MK1_20160505235957.csv,0.076
Stove_sOlac_r7_MK1_20160506000005.csv,0.074
Stove_sOlac_r7_MK1_20160506000012.csv,0.079
Stove_sOlac_r7_MK1_20160506000018.csv,0.072
Stove_sOlac_r7_MK1_20160506000025.csv,0.072
Stove_sOlac_r7_MK1_20160506000033.csv,0.075
Stove_sOlac_r7_MK1_20160506000040.csv,0.074
Stove_sOlac_r7_MK1_20160506000047.csv,0.079
Stove_sOlac_r7_MK1_20160506000054.csv,0.078
Stove_sOlac_r7_MK1_20160506000102.csv,0.074
